name,Life_expectancy,Expected_years_of_schooling,Old_age_pension_recipient,secondary_education_female
Nigeria,52.51,9,,
Cameroon,55.07,10.4,12.5,21.1
Yemen,63.11,9.2,8.5,7.6
Madagascar,64.72,10.3,4.6,
Zimbabwe,59.87,9.3,6.2,48.8
Papua New Guinea,62.42,8.9,0.9,6.8
Solomon Islands,67.68,9.2,13.1,
Comoros,60.87,12.8,,
"Tanzania, United Republic of",61.53,9.2,3.2,5.6
Mauritania,61.55,8.2,9.3,8
Lesotho,49.45,11.1,100,21.87
Senegal,63.45,7.9,23.5,7.18
Uganda,59.21,10.8,6.6,22.9
Benin,59.33,11,9.7,11.2
Togo,56.54,12.2,10.9,15.3
Sudan,62.06,7.3,4.6,12.8
Haiti,63.1,7.6,1,22.5
Afghanistan,60.95,9.3,10.7,5.8
Djibouti,61.8,6.4,12,
Côte d'Ivoire,50.72,8.9,7.7,13.7
Gambia,58.82,9.1,10.8,16.9
Ethiopia,63.64,8.5,9,7.79
Malawi,55.31,10.8,4.1,10.4
Liberia,60.56,8.5,,15.7
Mali,55.03,8.6,5.7,7.73
Guinea-Bissau,54.29,9,6.2,
Mozambique,50.25,9.5,17.3,1.5
Guinea,56.11,8.7,8.8,
Burundi,54.1,10.1,3.95,5.2
Burkina Faso,56.34,7.5,3.2,0.91
Eritrea,62.85,4.1,,
Sierra Leone,45.56,7.5,0.9,9.5
Chad,51.18,7.4,1.6,1.66
Central African Republic,50.18,7.2,,10.3
"Congo, the Democratic Republic of the",49.96,9.7,15,10.7
Niger,58.41,5.4,6.1,2.5
"Korea, Democratic People's Republic of",70,,,
Tuvalu,,10.8,19.5,
Marshall Islands,72.62,,64.2,
Monaco,,,,
Nauru,,9.3,56.5,
San Marino,,15.3,,
Somalia,55.05,,,
South Sudan,55.26,,,
